Unnamed: 0,city,latitude,logitude,temperature,pressure,humidity,wind_speed,cloudiness,country
325,ouahigouya,13.5828,-2.4216,35.36,1007.0,28.0,4.83,62.0,BF
326,tanjung pinang,0.9167,104.45,27.02,1008.0,87.0,1.38,100.0,ID
327,verkhnevilyuysk,63.4453,120.3167,12.29,1014.0,66.0,0.64,4.0,RU
328,lospalos,-8.5186,127.0025,22.53,1012.0,97.0,2.82,94.0,TL
329,asau,46.4333,26.4,19.51,1021.0,63.0,0.3,97.0,RO
330,panorama,40.5878,23.0315,22.44,1015.0,51.0,3.09,20.0,GR
331,codrington,-38.2667,141.9667,7.98,1027.0,91.0,2.41,100.0,AU
332,alto barinas,8.5931,-70.2261,32.52,1010.0,55.0,2.55,91.0,VE
333,margherita,27.2833,95.6833,25.72,1002.0,75.0,1.5,27.0,IN
334,ambatolampy,-19.3833,47.4167,10.32,1023.0,96.0,2.14,75.0,MG
335,bukama,-9.2,25.85,24.89,1012.0,49.0,1.01,43.0,CD
336,holualoa,19.6228,-155.9522,22.41,1021.0,94.0,3.6,40.0,US
337,bahir dar,11.5936,37.3908,22.95,1013.0,59.0,4.62,42.0,ET
338,at-bashi,41.1702,75.8106,12.91,1017.0,83.0,1.86,100.0,KG
