city,latitude,logitude,max_temperature,pressure,humidity,wind_speed,cloudiness,country
mersa matruh,31.3525,27.2453,25.11,1014.0,53.0,5.14,0.0,EG
namtsy,62.7161,129.6658,9.76,1019.0,55.0,1.98,0.0,RU
beykonak,36.3257,30.303,23.19,1008.0,56.0,3.14,0.0,TR
sao paulo de olivenca,-3.3783,-68.8725,26.2,1013.0,88.0,1.02,100.0,BR
vertientes,21.2594,-78.1464,28.34,1015.0,54.0,3.07,2.0,CU
pelabuhanratu,-6.9875,106.5514,25.73,1012.0,89.0,2.22,80.0,ID
pyt-yakh,60.7499,72.8582,8.14,1006.0,81.0,6.57,100.0,RU
whangarei,-35.7317,174.3239,12.36,1013.0,90.0,2.88,49.0,NZ
soe,-9.8607,124.284,19.91,1014.0,94.0,1.12,100.0,ID
imeko,7.45,2.85,23.11,1012.0,90.0,2.01,100.0,NG
dunedin,-45.8742,170.5036,5.45,999.0,82.0,8.94,90.0,NZ
mount pearl,47.5166,-52.7813,10.96,1002.0,97.0,2.57,100.0,CA
tofol,5.3248,163.0078,28.8,1010.0,80.0,5.14,100.0,FM
ak-dovurak,51.1833,90.6,20.06,1006.0,33.0,1.79,72.0,RU
xichang,27.8964,102.2634,23.22,1003.0,62.0,2.07,31.0,CN
pervomayskoye,43.919,46.7102,18.45,1021.0,44.0,11.06,36.0,RU
new norfolk,-42.7826,147.0587,4.84,1029.0,83.0,0.47,88.0,AU
orsta,62.2029,6.1272,24.1,1020.0,60.0,2.57,0.0,NO
khandyga,62.6667,135.6,7.86,1020.0,66.0,0.34,62.0,RU
praia da vitoria,38.7333,-27.0667,22.14,1023.0,56.0,4.41,40.0,PT
tarko-sale,64.9225,77.785,0.81,1002.0,98.0,8.7,100.0,RU
xai-xai,-25.0519,33.6442,23.73,1020.0,69.0,3.25,6.0,MZ
lompoc,34.6391,-120.4579,13.21,1016.0,94.0,4.12,40.0,US
flin flon,54.7682,-101.865,3.92,1008.0,96.0,3.6,100.0,CA
clinton,42.587,-82.9199,24.18,1010.0,75.0,1.54,75.0,US
scituate,42.1959,-70.7259,22.44,1012.0,48.0,3.09,0.0,US
karratha,-20.7377,116.8463,24.47,1017.0,44.0,1.9,0.0,AU
aykhal,66.0,111.5,9.93,1008.0,93.0,5.88,100.0,RU
borba,-4.3878,-59.5939,31.22,1013.0,64.0,1.23,100.0,BR
papao,-17.75,-149.55,25.82,1015.0,85.0,8.82,63.0,PF
cassia,-20.5831,-46.9219,22.49,1019.0,54.0,0.78,100.0,BR
kapuskasing,49.4169,-82.4331,11.05,1010.0,71.0,6.69,100.0,CA
korsholm,63.1142,21.6822,15.97,1026.0,76.0,5.81,75.0,FI
katsuura,35.1333,140.3,17.93,1018.0,69.0,5.14,100.0,JP
nampula,-15.1165,39.2666,27.97,1017.0,36.0,3.09,40.0,MZ
le port,-20.9373,55.2919,23.98,1017.0,79.0,1.67,24.0,RE
bamboo flat,11.7,92.7167,29.05,1004.0,84.0,3.09,100.0,IN
uray,60.1247,64.7758,8.82,1006.0,88.0,4.02,100.0,RU
birzebbuga,35.8258,14.5269,23.38,1014.0,68.0,7.2,0.0,MT
orimattila,60.8049,25.7296,18.7,1022.0,47.0,1.45,95.0,FI
